DAY,SAMAN,ARPA,SLAJ,YEM,SU
305,0.852382797,1.363812476,1.449050756,3.23905463,0.681906238
306,1.55838489,2.493415824,2.649254313,5.921862582,1.246707912
307,1.714223379,2.742757406,2.914179744,6.51404884,1.371378703
308,1.636304134,2.618086615,2.781717028,6.217955711,1.309043308
309,1.636304134,2.618086615,2.781717028,6.217955711,1.309043308
310,1.55838489,2.493415824,2.649254313,5.921862582,1.246707912
311,1.714223379,2.742757406,2.914179744,6.51404884,1.371378703
312,1.714223379,2.742757406,2.914179744,6.51404884,1.371378703
313,1.714223379,2.742757406,2.914179744,6.51404884,1.371378703
314,1.324627156,2.11940345,2.251866166,5.033583194,1.059701725
315,1.168788667,1.870061868,1.986940735,4.441396936,0.935030934
316,1.402546401,2.244074241,2.384328882,5.329676323,1.122037121
317,1.626684475,2.602695159,2.765363607,6.181401003,0
318,1.797914419,2.876663071,3.056454513,6.832074793,0
319,1.712299447,2.739679115,2.91090906,6.506737898,0
320,1.712299447,2.739679115,2.91090906,6.506737898,0
321,1.369839558,2.191743292,2.328727248,5.205390319,0
322,1.369839558,2.191743292,2.328727248,5.205390319,0
323,1.284224585,2.054759336,2.183181795,4.880053424,0
324,1.45545453,2.328727248,2.474272701,5.530727214,0
325,1.541069502,2.465711204,2.619818154,5.856064108,0
326,1.626684475,2.602695159,2.765363607,6.181401003,0
327,1.626684475,2.602695159,2.765363607,6.181401003,0
328,1.541069502,2.465711204,2.619818154,5.856064108,0
329,1.45545453,2.328727248,2.474272701,5.530727214,0
330,1.45545453,2.328727248,2.474272701,5.530727214,0
331,1.628173431,2.48102618,2.325962044,6.047501314,0
332,1.71862751,2.618860968,2.455182157,6.383473609,0
333,1.71862751,2.618860968,2.455182157,6.383473609,0
334,1.628173431,2.48102618,2.325962044,6.047501314,0
335,1.907073509,2.600554785,2.253814147,7.108183079,0
336,1.811719834,2.470527046,2.14112344,6.752773925,0
337,1.716366158,2.340499307,2.028432732,6.397364771,0
338,1.621012483,2.210471567,1.915742025,6.041955617,0
339,1.6486536,2.355219428,2.041190171,6.43759977,0
340,1.740245466,2.486064952,2.154589625,6.795244201,0
341,1.6486536,2.355219428,2.041190171,6.43759977,0
342,1.6486536,2.355219428,2.041190171,6.43759977,0
343,1.6486536,2.355219428,2.041190171,6.43759977,0
344,1.787346127,2.55335161,2.212904729,6.979161067,0
345,1.787346127,2.55335161,2.212904729,6.979161067,0
346,1.787346127,2.55335161,2.212904729,6.979161067,0
347,1.787346127,2.55335161,2.212904729,6.979161067,0
348,1.802080115,2.574400165,2.059520132,7.036693784,0.772320049
349,1.621872104,2.316960148,1.853568119,6.333024405,0.695088044
350,1.71197611,2.445680157,1.956544125,6.684859094,0.733704047
351,1.71197611,2.445680157,1.956544125,6.684859094,0.733704047
352,1.621872104,2.316960148,1.853568119,6.333024405,0.695088044
353,1.71197611,2.445680157,1.956544125,6.684859094,0.733704047
354,1.71197611,2.445680157,1.956544125,6.684859094,0.733704047
355,1.71197611,2.445680157,1.956544125,6.684859094,0.733704047
356,1.71197611,2.445680157,1.956544125,6.684859094,0.733704047
357,1.802080115,2.574400165,2.059520132,7.036693784,0.772320049
358,1.802080115,2.574400165,2.059520132,7.036693784,0.772320049
359,1.802080115,2.574400165,2.059520132,7.036693784,0.772320049
360,1.802080115,2.574400165,2.059520132,7.036693784,0.772320049
361,1.831124432,2.229194961,1.273825692,6.687584883,0.955369269
362,1.615698028,1.96693673,1.123963846,5.900810191,0.842972884
363,1.72341123,2.098065846,1.198894769,6.294197537,0.899171077
364,1.615698028,1.96693673,1.123963846,5.900810191,0.842972884
365,1.72341123,2.098065846,1.198894769,6.294197537,0.899171077
366,1.72341123,1.798342153,1.198894769,6.593921229,0.899171077
367,1.852667073,1.77211633,1.288811877,7.249566806,0.966608907
368,1.938837634,1.854540346,1.348756615,7.586755959,1.011567461
369,1.821484008,1.742289051,1.26711931,7.127546118,0.950339482
370,1.942916275,1.858441654,1.35159393,7.602715859,1.013695448
371,1.821484008,1.742289051,1.26711931,7.127546118,0.950339482
372,1.991489182,1.904902696,1.385383779,7.792783756,1.039037834
373,2.064348542,1.974594258,1.436068551,8.0778856,1.077051413
374,2.064348542,1.974594258,1.436068551,8.0778856,1.077051413
375,2.064348542,1.974594258,1.436068551,8.0778856,1.077051413
376,2.064348542,1.974594258,1.436068551,8.0778856,1.077051413
377,2.064348542,1.974594258,1.436068551,8.0778856,1.077051413
378,1.992336384,1.905713063,1.385973137,7.796098893,1.039479852
379,1.875140126,1.793612294,1.304445305,7.337504841,0.978333979
380,1.757943868,1.681511526,1.222917473,6.878910788,0.917188105
381,1.757943868,1.681511526,1.222917473,6.878910788,0.917188105
382,1.64074761,1.569410758,1.141389642,6.420316736,0.856042231
383,1.523551352,1.457309989,1.05986181,5.961722683,0.794896358
384,1.406355094,1.345209221,0.978333979,5.503128631,0.733750484
385,1.701644923,1.55984118,1.134429949,6.381168463,0.850822462
386,1.944737055,1.782675634,1.29649137,7.292763958,0.972368528
387,1.944737055,1.782675634,1.29649137,7.292763958,0.972368528
388,1.944737055,1.782675634,1.29649137,7.292763958,0.972368528
389,2.140277344,1.961920899,1.426851563,8.026040041,1.070138672
390,2.140277344,1.961920899,1.426851563,8.026040041,1.070138672
391,1.826224585,1.674039203,1.217483057,6.848342194,0.913112293
392,1.947972891,1.785641816,1.298648594,7.30489834,0.973986445
393,1.947972891,1.785641816,1.298648594,7.30489834,0.973986445
394,1.947972891,1.785641816,1.298648594,7.30489834,0.973986445
395,2.069721196,1.89724443,1.379814131,7.761454486,1.034860598
396,1.947972891,1.785641816,1.298648594,7.30489834,0.973986445
397,1.826224585,1.674039203,1.217483057,6.848342194,0.913112293
398,1.826224585,1.674039203,1.217483057,6.848342194,0.913112293
399,1.802234771,1.65204854,1.201489847,6.758380392,0.901117386
400,2.069721196,1.89724443,1.379814131,7.761454486,1.034860598
401,2.069721196,1.89724443,1.379814131,7.761454486,1.034860598
402,2.042532741,1.872321679,1.361688494,7.659497777,1.02126637
403,2.042532741,1.872321679,1.361688494,7.659497777,1.02126637
404,2.042532741,1.872321679,1.361688494,7.659497777,1.02126637
405,2.042532741,1.872321679,1.361688494,7.659497777,1.02126637
406,2.042532741,1.872321679,1.361688494,7.659497777,1.02126637
407,2.042532741,1.872321679,1.361688494,7.659497777,1.02126637
408,2.042532741,1.872321679,1.361688494,7.659497777,1.02126637
409,1.922383756,1.76218511,1.281589171,7.208939084,0.961191878
410,1.922383756,1.76218511,1.281589171,7.208939084,0.961191878
411,1.922383756,1.76218511,1.281589171,7.208939084,0.961191878
412,1.704476279,1.562436589,1.13631752,6.391786048,0.85223814
413,1.802234771,1.65204854,1.201489847,6.758380392,0.901117386
414,1.922383756,1.76218511,1.281589171,7.208939084,0.961191878
415,1.947972891,1.785641816,1.298648594,7.30489834,0.973986445
416,2.191469502,2.008847044,1.460979668,8.218010633,1.095734751
417,2.191469502,2.008847044,1.460979668,8.218010633,1.095734751
418,2.191469502,2.008847044,1.460979668,8.218010633,1.095734751
